course_number,section_number,professor,start_time,end_time,days,location
ANTH4520,001,Jara M. Carrington,08:00,08:50,MWF,Chemistry Building (CHEM) 162
ANTH4520,002,Jara M. Carrington,10:30,11:50,TuTh,Business Leadership Building (BLB) 074
ANTH4400,001,Jamie K. Johnson,14:00,14:50,MWF,General Academic Building (GAB) 307
ANTH4400,002,Jamie K. Johnson,11:00,11:50,MWF,Life Sciences Complex (LIFE) 364
ANTH1010,001,Jamie K. Johnson,16:00,16:50,MWF,Life Sciences Complex (LIFE) 291
ANTH1010,002,Jamie K. Johnson,16:00,16:50,MWF,Auditorium Building (AUD) 207
ANTH1010,003,Kelsey Lee,12:00,12:50,MWF,General Academic Building (GAB) 105
ANTH1010,004,Kelsey Lee,13:00,13:50,MWF,Chemistry Building (CHEM) 139
ANTH1010,005,Natalie Morrissey,13:00,13:50,MWF,Business Leadership Building (BLB) 016
ANTH1010,006,Natalie Morrissey,13:00,13:50,MWF,Art Annex (ARTA) 138
ANTH2700,001,Anthony A. Curran,08:00,08:50,MWF,Matthews Hall (MATT) 103
ANTH2700,002,Anthony A. Curran,09:30,10:50,MW,Hickory Hall (HICK) 218
ANTH2700,003,Misty Mikuls,11:30,12:50,MW,Gateway Center (GATE) 045
ANTH2700,004,Misty Mikuls,09:30,10:50,MW,Life Sciences Complex (LIFE) 312
ANTH3300,001,Lisa R. Henry,13:30,14:50,MW,Life Sciences Complex (LIFE) 123
ANTH3300,002,Lisa R. Henry,09:30,10:50,MW,Life Sciences Complex (LIFE) 134
ANTH3710,001,Kara B. Griffin,10:00,12:50,Th,Language Building (LANG) 104
ANTH3710,002,Kara B. Griffin,11:00,13:50,W,General Academic Building (GAB) 358
ANTH1150,001,Melissa A. Nelson,14:30,15:50,MW,Chemistry Building (CHEM) 116
ANTH1150,002,Melissa A. Nelson,13:00,13:50,MWF,Life Sciences Complex (LIFE) 283
ANTH3140,001,Mariela E. Nunez-Janes,10:30,11:50,MW,Chemistry Building (CHEM) 135
ANTH3140,002,Mariela E. Nunez-Janes,14:30,15:50,MW,Music Building (MUSI) 125
ANTH4021,001,Jamie K. Johnson,11:30,12:50,MW,Business Leadership Building (BLB) 270
ANTH4021,002,Jamie K. Johnson,09:00,11:50,M,Business Leadership Building (BLB) 024
ANTH4910,001,Mariela E. Nunez-Janes,14:30,15:50,TuTh,Gateway Center (GATE) 089
ANTH4910,002,Mariela E. Nunez-Janes,15:00,17:50,F,Chemistry Building (CHEM) 241
ANTH3700,001,Hannah Macintyre,08:00,10:50,M,Hickory Hall (HICK) 248
ANTH3700,002,Hannah Macintyre,09:30,10:50,MW,Environmental Science Building (ENV) 211
ANTH3101,001,Carla K. Paschal,12:30,13:50,TuTh,Wooten Hall (WH) 295
ANTH3101,002,Carla K. Paschal,12:30,13:50,TuTh,Wooten Hall (WH) 255
ANTH3101,003,Jamie K. Johnson,10:30,11:50,MW,Hickory Hall (HICK) 249
ANTH3101,004,Jamie K. Johnson,08:00,10:50,F,Art Building (ART) 215
ANTH3101,005,Susan E. Squires,13:00,13:50,MWF,Environmental Science Building (ENV) 161
ANTH3101,006,Susan E. Squires,09:00,09:50,MWF,Gateway Center (GATE) 133
ANTH4920,001,Melissa A. Nelson,09:00,11:50,F,Business Leadership Building (BLB) 172
